,Unnamed: 0,Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Year,Month,Day,Unnamed: 24,BCFG,BR,DZ,FG,FG+,FU,GR,HZ,MIFG,RA,SN,SQ,TS,TSRA,VCFG,VCTS
366,368,1.0,2008-05-01,74.0,48.0,61.0,8.0,51.0,56.0,4.0,0.0,0448,1849, ,0.0,0.0,28.95,29.67,10.6,16.0,11.5,2008,5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,370,1.0,2008-05-02,74.0,51.0,63.0,9.0,55.0,58.0,2.0,0.0,0447,1850,TSRA RA BR,0.0,1.28,28.79,29.53,13.8,20.0,15.1,2008,5,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
370,372,1.0,2008-05-03,56.0,43.0,50.0,-4.0,41.0,46.0,15.0,0.0,0446,1851,RA,0.0,0.1,29.01,29.69,10.4,25.0,12.7,2008,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
372,374,1.0,2008-05-04,65.0,38.0,52.0,-2.0,34.0,45.0,13.0,0.0,0444,1852, ,0.0,0.0,29.31,30.02,5.6,24.0,6.3,2008,5,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
374,376,1.0,2008-05-05,75.0,50.0,63.0,8.0,38.0,50.0,2.0,0.0,0443,1853, ,0.0,0.0,29.27,29.99,4.4,26.0,7.0,2008,5,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376,378,1.0,2008-05-06,81.0,46.0,64.0,9.0,44.0,55.0,1.0,0.0,0442,1855, ,0.0,0.0,29.16,29.88,6.3,22.0,7.1,2008,5,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378,380,1.0,2008-05-07,70.0,49.0,60.0,5.0,52.0,56.0,5.0,0.0,0441,1856,RA BR,0.0,0.76,28.97,29.69,3.5,23.0,12.3,2008,5,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
380,382,1.0,2008-05-08,59.0,45.0,52.0,-4.0,35.0,44.0,13.0,0.0,0439,1857, ,0.0,0.0,29.08,29.82,12.2,5.0,12.6,2008,5,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,384,1.0,2008-05-09,58.0,41.0,50.0,-6.0,34.0,43.0,15.0,0.0,0438,1858, ,0.0,0.0,29.15,29.85,6.3,3.0,6.9,2008,5,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,386,1.0,2008-05-10,61.0,38.0,50.0,-6.0,37.0,45.0,15.0,0.0,0437,1859, ,0.0,0.0,29.08,29.85,5.9,7.0,6.3,2008,5,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
