,Unnamed: 0,Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Year,Month,Day,Unnamed: 24,BCFG,BR,DZ,FG,FG+,FU,GR,HZ,MIFG,RA,SN,SQ,TS,TSRA,VCFG,VCTS
0,0,1.0,2007-05-01,83.0,50.0,67.0,14.0,51.0,56.0,0.0,2.0,0448,1849, ,0.0,0.0,29.1,29.82,1.7,27.0,9.2,2007,5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1.0,2007-05-02,59.0,42.0,51.0,-3.0,42.0,47.0,14.0,0.0,0447,1850,BR,0.0,0.0,29.38,30.09,13.0,4.0,13.4,2007,5,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,1.0,2007-05-03,66.0,46.0,56.0,2.0,40.0,48.0,9.0,0.0,0446,1851, ,0.0,0.0,29.39,30.12,11.7,7.0,11.9,2007,5,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,1.0,2007-05-04,66.0,49.0,58.0,4.0,41.0,50.0,7.0,0.0,0444,1852,RA,0.0,0.1,29.31,30.05,10.4,8.0,10.8,2007,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,1.0,2007-05-05,66.0,53.0,60.0,5.0,38.0,49.0,5.0,0.0,0443,1853, ,0.0,0.1,29.4,30.1,11.7,7.0,12.0,2007,5,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,1.0,2007-05-06,68.0,49.0,59.0,4.0,30.0,46.0,6.0,0.0,0442,1855, ,0.0,0.0,29.57,30.29,14.4,11.0,15.0,2007,5,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,12,1.0,2007-05-07,83.0,47.0,65.0,10.0,41.0,54.0,0.0,0.0,0441,1856,RA,0.0,0.1,29.38,30.12,8.6,18.0,10.5,2007,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14,1.0,2007-05-08,82.0,54.0,68.0,12.0,58.0,62.0,0.0,3.0,0439,1857,BR,0.0,0.0,29.29,30.03,2.7,11.0,5.8,2007,5,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16,1.0,2007-05-09,77.0,61.0,69.0,13.0,59.0,63.0,0.0,4.0,0438,1858,BR HZ,0.0,0.13,29.21,29.94,3.9,9.0,6.2,2007,5,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,18,1.0,2007-05-10,84.0,56.0,70.0,14.0,52.0,60.0,0.0,5.0,0437,1859,BR,0.0,0.0,29.2,29.92,0.7,17.0,4.1,2007,5,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,20,1.0,2007-05-11,70.0,51.0,61.0,4.0,42.0,51.0,4.0,0.0,0436,1860, ,0.0,0.0,29.33,30.04,11.3,3.0,12.9,2007,5,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,22,1.0,2007-05-12,64.0,46.0,55.0,-2.0,36.0,46.0,10.0,0.0,0435,1901, ,0.0,0.0,29.49,30.2,12.4,3.0,12.9,2007,5,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,24,1.0,2007-05-13,69.0,43.0,56.0,-2.0,33.0,46.0,9.0,0.0,0434,1902, ,0.0,0.0,29.49,30.24,6.6,14.0,8.1,2007,5,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,26,1.0,2007-05-14,90.0,56.0,73.0,15.0,47.0,59.0,0.0,8.0,0433,1903, ,0.0,0.0,29.23,29.97,16.9,21.0,17.3,2007,5,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
